거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,중개사소재지,지번,지역코드,해제사유발생일,해제여부,층
"390,000",중개거래,281.5,업무,1986,2023,,적선동,종로구,일반상업,10,집합,16,서울 종로구,8*,11110,-,X,-
"128,000",중개거래,61.28,제1종근린생활,2000,2023,53.8,누하동,종로구,제2종일반주거,10,일반,20,서울 강남구,2*,11110,-,X,-
"127,007",중개거래,36.36,제2종근린생활,,2023,82.7,옥인동,종로구,제2종일반주거,10,일반,11,서울 종로구,6*,11110,-,X,-
"503,000",중개거래,380.69,업무,1985,2023,,당주동,종로구,일반상업,10,집합,11,서울 종로구,*,11110,-,X,-
"567,365",직거래,94.18,제1종근린생활,1961,2023,119,당주동,종로구,일반상업,10,일반,31,,2*,11110,-,X,-
"50,000",중개거래,43.46,업무,2005,2023,,신문로1가,종로구,일반상업,10,집합,18,서울 종로구,1**,11110,-,X,15
"50,000",중개거래,43.46,업무,2005,2023,,신문로1가,종로구,일반상업,10,집합,18,서울 종로구,1**,11110,23.11.02,O,15
"540,000",중개거래,404.95,제2종근린생활,1968,2023,86.6,종로2가,종로구,일반상업,10,일반,7,서울 강남구,7*,11110,-,X,-
"110,000",중개거래,58.38,제1종근린생활,1960,2023,100.8,삼청동,종로구,제1종일반주거,10,일반,24,서울 중구,2*,11110,-,X,-
"280,000",중개거래,76.03,제2종근린생활,,2023,208.3,가회동,종로구,제1종일반주거,10,일반,31,서울 종로구,3*,11110,-,X,-
"2,000",직거래,4.25,제1종근린생활,2004,2023,,돈의동,종로구,일반상업,10,집합,18,,1**,11110,-,X,-
"13,500",중개거래,20.23,제1종근린생활,1967,2023,,장사동,종로구,일반상업,10,집합,10,서울 종로구,1**,11110,-,X,-
"24,000",직거래,15.39,제1종근린생활,1967,2023,,장사동,종로구,일반상업,10,집합,16,,1**,11110,-,X,-
"4,000",중개거래,9.3,제2종근린생활,2006,2023,,인의동,종로구,일반상업,10,집합,12,서울 종로구,4*,11110,-,X,-
"4,000",중개거래,9.3,제2종근린생활,2006,2023,,인의동,종로구,일반상업,10,집합,12,서울 종로구,4*,11110,-,X,-
"4,000",중개거래,9.3,제2종근린생활,2006,2023,,인의동,종로구,일반상업,10,집합,12,서울 종로구,4*,11110,-,X,-
"85,000",직거래,93.41,제2종근린생활,,2023,69.4,인의동,종로구,일반상업,10,일반,25,,7*,11110,-,X,-
"258,000",직거래,307.79,제1종근린생활,2019,2023,,효제동,종로구,일반상업,10,집합,4,,1**,11110,23.11.15,O,-
"258,000",직거래,307.79,제1종근린생활,2019,2023,,효제동,종로구,일반상업,10,집합,30,,1**,11110,-,X,-
"260,000",중개거래,183.8,판매,,2023,,종로6가,종로구,일반상업,10,집합,13,서울 종로구,2**,11110,-,X,-
"17,000",중개거래,11.07,판매,1970,2023,,창신동,종로구,일반상업,10,집합,20,서울 성동구,4**,11110,-,X,-
"60,000",직거래,23.12,제1종근린생활,2021,2023,,창신동,종로구,준주거,10,집합,26,,2**,11110,-,X,1
"149,000",중개거래,132.9,제1종근린생활,1998,2023,79.1,숭인동,종로구,제2종일반주거,10,일반,27,서울 종로구,6*,11110,-,X,-
"400,000",중개거래,59.77,제1종근린생활,2017,2023,,평동,종로구,제2종일반주거,10,집합,7,서울 영등포구,2**,11110,-,X,31
"13,500",중개거래,79.19,제2종근린생활,1990,2023,,구기동,종로구,제2종일반주거,10,집합,27,서울 종로구,8*,11110,-,X,-
